passenger_count,trip_distance,fare
1.0,4.89,24.8
6.0,1.16,9.3
1.0,0.91,7.3
1.0,1.35,10.8
2.0,1.4,8.3
3.0,0.67,6.8
2.0,0.5,6.3
1.0,0.4,4.8
1.0,0.9,7.3
3.0,1.73,9.8
1.0,3.3,20.3
2.0,2.1,12.8
1.0,1.29,8.3
1.0,0.59,6.8
5.0,8.44,32.06
1.0,0.54,6.8
1.0,1.75,11.8
1.0,16.9,53.059999999999995
1.0,4.07,16.8
1.0,0.94,6.8
5.0,4.2,15.299999999999999
1.0,3.29,14.8
1.0,10.9,34.3
1.0,6.4,24.8
1.0,1.2,7.8
1.0,1.8,8.8
1.0,0.4,5.300000000000001
6.0,1.06,8.8
1.0,1.2,6.8
1.0,0.8,6.8
5.0,1.48,11.3
1.0,0.8,6.800000000000001
1.0,0.38,4.8
1.0,2.78,11.3
1.0,0.6,4.800000000000001
5.0,0.71,5.8
1.0,2.63,12.799999999999999
1.0,3.26,16.8
1.0,3.97,18.799999999999997
5.0,0.57,7.300000000000001
2.0,2.9,15.799999999999999
1.0,1.5,9.8
1.0,0.81,6.3
1.0,1.67,10.8
2.0,10.44,43.06
1.0,8.52,33.56
1.0,0.6,7.8
1.0,0.67,9.3
1.0,4.91,21.8
1.0,1.3,13.8
1.0,0.3,5.8
1.0,0.48,6.3
1.0,2.54,10.8
1.0,3.9,15.799999999999999
2.0,2.8,14.3
1.0,0.5,5.3
1.0,2.78,11.8
1.0,1.0,8.3
1.0,2.07,10.8
1.0,3.61,19.8
1.0,0.72,5.8
2.0,1.51,12.3
1.0,2.3,11.8
1.0,0.9,8.299999999999999
4.0,0.58,4.8
1.0,3.0,13.8
1.0,0.6,7.3
1.0,1.27,7.299999999999999
1.0,1.63,9.8
1.0,2.83,15.3
5.0,1.03,11.3
1.0,8.67,33.56
2.0,2.89,13.8
1.0,1.6,10.3
1.0,2.7,16.3
5.0,16.01,53.06
1.0,0.66,5.8
5.0,1.06,8.8
1.0,2.4,13.3
1.0,19.6,61.3
1.0,4.7,22.3
2.0,0.99,9.3
1.0,0.5,5.800000000000001
2.0,1.1,11.8
1.0,2.99,17.8
1.0,14.0,45.56
1.0,3.94,18.3
1.0,2.2,13.3
2.0,1.58,11.3
1.0,2.25,10.299999999999999
2.0,1.3,7.8
1.0,2.02,10.299999999999999
3.0,0.9,7.8
5.0,2.07,11.3
1.0,1.4,10.8
1.0,7.4,29.560000000000002
1.0,3.9,16.799999999999997
1.0,3.59,13.799999999999999
2.0,2.35,11.3
1.0,2.3,9.8
1.0,0.05,3.3
1.0,1.7,10.3
2.0,2.8,13.8
2.0,2.5,12.8
2.0,11.42,41.56
1.0,2.01,9.8
3.0,0.43,4.8
1.0,3.34,15.8
1.0,2.2,9.8
1.0,4.4,16.3
2.0,2.0,14.8
1.0,0.3,4.3
4.0,1.22,6.3
2.0,3.0,14.3
2.0,1.23,8.8
1.0,2.2,11.8
1.0,2.09,13.3
1.0,1.01,6.3
1.0,1.03,7.3
1.0,4.9,17.3
3.0,0.67,5.3
1.0,1.58,7.3
1.0,2.76,14.3
1.0,0.54,8.3
3.0,0.95,5.8
2.0,1.04,7.8
1.0,5.07,23.8
1.0,4.94,18.3
1.0,0.52,5.3
1.0,1.43,9.3
2.0,2.2,11.3
1.0,0.85,7.3
1.0,3.1,15.3
1.0,1.7,8.8
1.0,8.99,31.3
5.0,1.32,11.8
3.0,2.5,11.8
1.0,2.1,10.799999999999999
1.0,7.03,26.8
2.0,1.1,6.8
1.0,3.7,15.8
2.0,0.93,6.3
2.0,1.2,6.800000000000001
5.0,1.32,9.8
1.0,0.74,6.8
1.0,17.06,58.56
1.0,1.5,10.3
1.0,5.08,20.3
2.0,3.18,15.8
3.0,4.43,19.3
3.0,1.8,13.299999999999999
1.0,2.67,14.3
2.0,21.3,52.8
1.0,1.08,6.3
1.0,8.3,32.56
6.0,0.9,6.3
1.0,0.68,5.8
1.0,1.7,8.8
2.0,1.9,8.8
1.0,10.5,32.3
2.0,0.01,3.8
1.0,1.75,9.3
5.0,0.26,58.559999999999995
1.0,0.1,4.8
1.0,1.17,7.300000000000001
1.0,2.3,12.8
1.0,1.6,7.3
1.0,1.26,8.3
1.0,0.9,7.8
1.0,17.27,58.559999999999995
1.0,0.95,6.8
1.0,2.75,12.3
3.0,1.48,11.3
1.0,1.1,6.8
2.0,0.96,6.3
1.0,2.3,13.799999999999999
2.0,18.18,63.06
2.0,3.11,15.8
5.0,2.7,13.799999999999999
5.0,1.27,8.799999999999999
1.0,3.6,22.3
1.0,2.0,15.3
1.0,1.66,9.8
1.0,4.5,17.8
2.0,1.63,9.8
1.0,1.58,7.799999999999999
1.0,2.16,11.3
1.0,19.38,58.8
1.0,1.41,8.3
1.0,4.88,18.799999999999997
1.0,0.83,6.8
1.0,0.84,8.3
1.0,2.62,12.8
1.0,2.56,13.799999999999999
1.0,2.3,16.8
1.0,1.23,7.8
1.0,5.9,24.3
1.0,2.38,12.8
2.0,2.09,16.299999999999997
1.0,0.46,5.8
1.0,2.8,16.8
1.0,0.63,7.3
2.0,0.9,9.8
1.0,0.55,5.8
1.0,0.9,12.3
1.0,2.4,12.3
2.0,0.9,8.299999999999999
1.0,1.7,10.3
1.0,18.17,63.06
1.0,0.7,7.3
1.0,1.85,9.8
1.0,1.36,10.8
1.0,3.0,16.299999999999997
1.0,0.57,5.8
1.0,2.3,11.8
1.0,0.84,6.3
1.0,0.9,7.800000000000001
1.0,8.68,29.799999999999997
2.0,0.92,6.3
1.0,3.54,15.3
2.0,2.06,11.8
1.0,0.58,5.8
1.0,1.47,10.25
1.0,1.78,11.8
1.0,0.5,5.8
1.0,11.41,45.56
1.0,0.68,6.8
1.0,1.68,12.799999999999999
4.0,17.6,58.56
2.0,1.88,10.8
1.0,1.03,7.3
1.0,6.62,29.48
2.0,0.3,5.8
1.0,1.56,10.3
1.0,2.13,11.8
1.0,0.9,8.8
2.0,3.1,15.3
1.0,16.77,58.56
1.0,12.74,48.56
1.0,3.5,16.3
1.0,0.88,7.300000000000001
5.0,18.8,53.3
2.0,1.04,8.3
2.0,1.31,9.3
1.0,0.57,5.8
2.0,1.1,8.8
1.0,4.15,16.299999999999997
2.0,13.33,41.300000000000004
1.0,0.85,7.3
1.0,2.01,11.299999999999999
1.0,3.55,15.8
6.0,1.33,8.3
2.0,2.84,12.8
1.0,7.6,23.8
1.0,0.9,6.3
1.0,1.41,8.3
2.0,0.97,5.8
1.0,1.51,10.8
1.0,0.6,5.8
2.0,3.7,29.06
2.0,1.62,10.3
1.0,1.8,11.3
1.0,3.1,14.799999999999999
2.0,1.03,7.799999999999999
1.0,0.5,7.299999999999999
1.0,9.78,38.56
1.0,2.73,17.8
1.0,3.3,20.8
1.0,19.6,63.06
1.0,18.9,60.3
1.0,1.06,8.3
3.0,1.8,9.3
1.0,4.9,21.8
1.0,8.5,31.8
1.0,1.8,11.8
1.0,1.0,8.299999999999999
1.0,18.55,60.06
1.0,0.53,4.8
2.0,1.88,9.8
3.0,17.47,58.559999999999995
1.0,1.58,8.3
1.0,8.72,35.06
1.0,1.1,7.8
2.0,3.51,13.8
1.0,4.16,17.3
2.0,8.87,28.3
1.0,2.45,10.8
2.0,2.07,9.3
1.0,0.77,6.3
1.0,0.4,5.8
1.0,0.43,4.8
1.0,0.5,9.3
5.0,0.86,7.8
1.0,0.98,9.3
1.0,1.0,7.799999999999999
1.0,1.24,9.8
1.0,1.1,7.300000000000001
1.0,0.76,7.3
1.0,1.0,8.3
1.0,1.7,10.3
1.0,0.6,5.8
1.0,1.58,10.8
1.0,0.6,5.3
1.0,0.5,5.800000000000001
2.0,1.33,9.3
1.0,3.59,19.3
2.0,0.85,7.800000000000001
2.0,1.3,9.8
1.0,18.5,53.3
3.0,0.8,6.8
2.0,0.62,6.3
1.0,1.85,11.3
1.0,1.24,8.8
1.0,6.4,21.3
1.0,2.44,14.299999999999999
